treatment_sensitivity,treatment_false_positive_probability,control_sensitivity,control_false_positive_probability,worker_control_accuracy,worker_treatment_accuracy,worker_effect,measured_control_accuracy,measured_treatment_accuracy,measured_effect,distortion,zero_boundary_residual_m1_minus_m0,sign_reversed_relative_to_worker
0,0,0.96,0.02,0.7482949549720432,0.7952747143846032,0.04697975941255994,0.7233972576737205,0,-0.7233972576737205,-0.7703770170862805,-0.7233972576737205,True
0,0.05,0.96,0.02,0.7482949549720432,0.7952747143846032,0.04697975941255994,0.7233972576737205,0.01023626428076984,-0.7131609933929507,-0.7601407528055106,-0.7131609933929507,True
0,0.1,0.96,0.02,0.7482949549720432,0.7952747143846032,0.04697975941255994,0.7233972576737205,0.02047252856153968,-0.7029247291121808,-0.7499044885247408,-0.7029247291121808,True
0,0.15,0.96,0.02,0.7482949549720432,0.7952747143846032,0.04697975941255994,0.7233972576737205,0.03070879284230953,-0.692688464831411,-0.7396682242439709,-0.692688464831411,True
0,0.2,0.96,0.02,0.7482949549720432,0.7952747143846032,0.04697975941255994,0.7233972576737205,0.04094505712307937,-0.6824522005506412,-0.7294319599632011,-0.6824522005506412,True
0,0.25,0.96,0.02,0.7482949549720432,0.7952747143846032,0.04697975941255994,0.7233972576737205,0.05118132140384921,-0.6722159362698713,-0.7191956956824312,-0.6722159362698713,True
0,0.3,0.96,0.02,0.7482949549720432,0.7952747143846032,0.04697975941255994,0.7233972576737205,0.06141758568461906,-0.6619796719891015,-0.7089594314016614,-0.6619796719891015,True
0,0.35,0.96,0.02,0.7482949549720432,0.7952747143846032,0.04697975941255994,0.7233972576737205,0.0716538499653889,-0.6517434077083316,-0.6987231671208916,-0.6517434077083316,True
0,0.4,0.96,0.02,0.7482949549720432,0.7952747143846032,0.04697975941255994,0.7233972576737205,0.08189011424615873,-0.6415071434275618,-0.6884869028401217,-0.6415071434275618,True
0,0.45,0.96,0.02,0.7482949549720432,0.7952747143846032,0.04697975941255994,0.7233972576737205,0.09212637852692858,-0.6312708791467919,-0.6782506385593519,-0.6312708791467919,True
0,0.5,0.96,0.02,0.7482949549720432,0.7952747143846032,0.04697975941255994,0.7233972576737205,0.1023626428076984,-0.6210346148660222,-0.6680143742785821,-0.6210346148660222,True
0,0.55,0.96,0.02,0.7482949549720432,0.7952747143846032,0.04697975941255994,0.7233972576737205,0.1125989070884683,-0.6107983505852523,-0.6577781099978123,-0.6107983505852523,True
0,0.6000000000000001,0.96,0.02,0.7482949549720432,0.7952747143846032,0.04697975941255994,0.7233972576737205,0.1228351713692381,-0.6005620863044824,-0.6475418457170423,-0.6005620863044824,True
0,0.65,0.96,0.02,0.7482949549720432,0.7952747143846032,0.04697975941255994,0.7233972576737205,0.133071435650008,-0.5903258220237126,-0.6373055814362726,-0.5903258220237126,True
0,0.7000000000000001,0.96,0.02,0.7482949549720432,0.7952747143846032,0.04697975941255994,0.7233972576737205,0.1433076999307778,-0.5800895577429428,-0.6270693171555027,-0.5800895577429428,True
