calls_per_instance_K,icc_rho,design_effect,naive_to_correct_se_ratio,nominal_alpha,normal_approx_actual_alpha_if_calls_treated_independent,alpha_inflation_ratio,omi_K6_scale_marker
1,0,1,1,0.05,0.0499998619215154,0.999997238430308,False
1,0.05,1,1,0.05,0.0499998619215154,0.999997238430308,False
1,0.1,1,1,0.05,0.0499998619215154,0.999997238430308,False
1,0.15,1,1,0.05,0.0499998619215154,0.999997238430308,False
1,0.2,1,1,0.05,0.0499998619215154,0.999997238430308,False
1,0.25,1,1,0.05,0.0499998619215154,0.999997238430308,False
1,0.3,1,1,0.05,0.0499998619215154,0.999997238430308,False
1,0.35,1,1,0.05,0.0499998619215154,0.999997238430308,False
1,0.4,1,1,0.05,0.0499998619215154,0.999997238430308,False
1,0.45,1,1,0.05,0.0499998619215154,0.999997238430308,False
1,0.5,1,1,0.05,0.0499998619215154,0.999997238430308,False
1,0.55,1,1,0.05,0.0499998619215154,0.999997238430308,False
1,0.6000000000000001,1,1,0.05,0.0499998619215154,0.999997238430308,False
1,0.65,1,1,0.05,0.0499998619215154,0.999997238430308,False
1,0.7000000000000001,1,1,0.05,0.0499998619215154,0.999997238430308,False
1,0.75,1,1,0.05,0.0499998619215154,0.999997238430308,False
1,0.8,1,1,0.05,0.0499998619215154,0.999997238430308,False
1,0.8500000000000001,1,1,0.05,0.0499998619215154,0.999997238430308,False
1,0.9,1,1,0.05,0.0499998619215154,0.999997238430308,False
2,0,1,1,0.05,0.0499998619215154,0.999997238430308,False
2,0.05,1.05,0.9759000729485331,0.05,0.05578262143103885,1.115652428620777,False
2,0.1,1.1,0.9534625892455922,0.05,0.06165715351798839,1.233143070359768,False
2,0.15,1.15,0.9325048082403138,0.05,0.06759810204713723,1.351962040942745,False
2,0.2,1.2,0.9128709291752769,0.05,0.07358345399352118,1.471669079870424,False
2,0.25,1.25,0.8944271909999159,0.05,0.07959418402849616,1.591883680569923,False
2,0.3,1.3,0.8770580193070292,0.05,0.0856139153002442,1.712278306004884,False
2,0.35,1.35,0.8606629658238704,0.05,0.09162860470108658,1.832572094021732,False
2,0.4,1.4,0.8451542547285166,0.05,0.09762625634874089,1.952525126974818,False
2,0.45,1.45,0.8304547985373997,0.05,0.103596664180841,2.07193328361682,False
2,0.5,1.5,0.8164965809277261,0.05,0.1095311828767882,2.190623657535764,False
2,0.55,1.55,0.8032193289024989,0.05,0.1154225253776526,2.308450507553053,False
2,0.6000000000000001,1.6,0.7905694150420948,0.05,0.1212645848057807,2.425291696115615,False
2,0.65,1.65,0.778498944161523,0.05,0.127052278413472,2.54104556826944,False
2,0.7000000000000001,1.7,0.7669649888473704,0.05,0.1327814111979457,2.655628223958915,False
2,0.75,1.75,0.7559289460184544,0.05,0.1384485569317762,2.768971138635523,False
2,0.8,1.8,0.7453559924999299,0.05,0.1440509545252051,2.881019090504102,False
2,0.8500000000000001,1.85,0.7352146220938078,0.05,0.1495864178283179,2.991728356566359,False
2,0.9,1.9,0.7254762501100117,0.05,0.1550532571780083,3.101065143560167,False
3,0,1,1,0.05,0.0499998619215154,0.999997238430308,False
3,0.05,1.1,0.9534625892455922,0.05,0.06165715351798839,1.233143070359768,False
3,0.1,1.2,0.9128709291752769,0.05,0.07358345399352118,1.471669079870424,False
3,0.15,1.3,0.8770580193070292,0.05,0.0856139153002442,1.712278306004884,False
3,0.2,1.4,0.8451542547285166,0.05,0.09762625634874089,1.952525126974818,False
3,0.25,1.5,0.8164965809277261,0.05,0.1095311828767882,2.190623657535764,False
3,0.3,1.6,0.7905694150420948,0.05,0.1212645848057807,2.425291696115615,False
3,0.35,1.7,0.7669649888473704,0.05,0.1327814111979457,2.655628223958915,False
3,0.4,1.8,0.7453559924999299,0.05,0.1440509545252051,2.881019090504102,False
3,0.45,1.9,0.7254762501100117,0.05,0.1550532571780083,3.101065143560167,False
3,0.5,2,0.7071067811865475,0.05,0.1657763874398479,3.315527748796958,False
3,0.55,2.1,0.6900655593423541,0.05,0.1762143794068693,3.524287588137387,False
3,0.6000000000000001,2.2,0.674199862463242,0.05,0.1863656761879051,3.727313523758102,False
3,0.65,2.3,0.6593804733957871,0.05,0.1962319533610017,3.924639067220035,False
3,0.7000000000000001,2.4,0.6454972243679028,0.05,0.2058172295080114,4.116344590160228,False
3,0.75,2.5,0.6324555320336759,0.05,0.215127193628027,4.30254387256054,False
3,0.8,2.6,0.6201736729460422,0.05,0.2241686966455303,4.483373932910606,False
3,0.8500000000000001,2.7,0.6085806194501845,0.05,0.2329493673186231,4.658987346372463,False
3,0.9,2.8,0.5976143046671968,0.05,0.2414773226538149,4.829546453076299,False
4,0,1,1,0.05,0.0499998619215154,0.999997238430308,False
4,0.05,1.15,0.9325048082403138,0.05,0.06759810204713723,1.351962040942745,False
4,0.1,1.3,0.8770580193070292,0.05,0.0856139153002442,1.712278306004884,False
4,0.15,1.45,0.8304547985373997,0.05,0.103596664180841,2.07193328361682,False
4,0.2,1.6,0.7905694150420948,0.05,0.1212645848057807,2.425291696115615,False
4,0.25,1.75,0.7559289460184544,0.05,0.1384485569317762,2.768971138635523,False
4,0.3,1.9,0.7254762501100116,0.05,0.1550532571780083,3.101065143560167,False
4,0.35,2.05,0.6984302957695783,0.05,0.1710312109631973,3.420624219263946,False
4,0.4,2.2,0.674199862463242,0.05,0.1863656761879051,3.727313523758102,False
4,0.45,2.35,0.6523280730534422,0.05,0.2010593934995093,4.021187869990186,False
4,0.5,2.5,0.6324555320336759,0.05,0.215127193628027,4.30254387256054,False
4,0.55,2.65,0.6142951168339511,0.05,0.2285911373004907,4.571822746009815,False
4,0.6000000000000001,2.8,0.5976143046671968,0.05,0.2414773226538149,4.829546453076299,False
4,0.65,2.95,0.582222509739582,0.05,0.2538137953347799,5.076275906695598,False
4,0.7000000000000001,3.1,0.5679618342470648,0.05,0.2656291910977941,5.312583821955883,False
4,0.75,3.25,0.5547001962252291,0.05,0.2769518668612743,5.539037337225485,False
4,0.8,3.4,0.5423261445466404,0.05,0.2878093582999166,5.756187165998332,False
4,0.8500000000000001,3.55,0.5307448924342753,0.05,0.2982280558432842,5.964561116865683,False
4,0.9,3.7,0.5198752449100363,0.05,0.3082330264468733,6.164660528937467,False
5,0,1,1,0.05,0.0499998619215154,0.999997238430308,False
5,0.05,1.2,0.9128709291752769,0.05,0.07358345399352118,1.471669079870424,False
5,0.1,1.4,0.8451542547285166,0.05,0.09762625634874089,1.952525126974818,False
5,0.15,1.6,0.7905694150420948,0.05,0.1212645848057807,2.425291696115615,False
5,0.2,1.8,0.7453559924999299,0.05,0.1440509545252051,2.881019090504102,False
5,0.25,2,0.7071067811865475,0.05,0.1657763874398479,3.315527748796958,False
5,0.3,2.2,0.674199862463242,0.05,0.1863656761879051,3.727313523758102,False
5,0.35,2.4,0.6454972243679028,0.05,0.2058172295080114,4.116344590160228,False
5,0.4,2.6,0.6201736729460422,0.05,0.2241686966455303,4.483373932910606,False
5,0.45,2.8,0.5976143046671968,0.05,0.2414773226538149,4.829546453076299,False
5,0.5,3,0.5773502691896258,0.05,0.2578087456035754,5.156174912071507,False
5,0.55,3.2,0.5590169943749475,0.05,0.2732306673433611,5.464613346867222,False
5,0.6000000000000001,3.4,0.5423261445466404,0.05,0.2878093582999166,5.756187165998332,False
5,0.65,3.6,0.5270462766947299,0.05,0.3016078179126334,6.032156358252667,False
5,0.7000000000000001,3.8,0.512989176042577,0.05,0.3146849021569804,6.293698043139608,False
5,0.75,4,0.5,0.05,0.3270950118383713,6.541900236767426,False
5,0.8,4.2,0.4879500364742665,0.05,0.3388881000813446,6.777762001626892,False
5,0.8500000000000001,4.4,0.4767312946227961,0.05,0.3501098547926058,7.002197095852116,False
5,0.9,4.6,0.4662524041201569,0.05,0.3608019700290117,7.216039400580234,False
6,0,1,1,0.05,0.0499998619215154,0.999997238430308,True
6,0.05,1.25,0.8944271909999159,0.05,0.07959418402849616,1.591883680569923,True
6,0.1,1.5,0.8164965809277261,0.05,0.1095311828767882,2.190623657535764,True
6,0.15,1.75,0.7559289460184544,0.05,0.1384485569317762,2.768971138635523,True
6,0.2,2,0.7071067811865475,0.05,0.1657763874398479,3.315527748796958,True
6,0.25,2.25,0.6666666666666666,0.05,0.1913342371822617,3.826684743645234,True
6,0.3,2.5,0.6324555320336759,0.05,0.215127193628027,4.30254387256054,True
6,0.35,2.75,0.6030226891555273,0.05,0.2372444143799679,4.744888287599358,True
6,0.4,3,0.5773502691896258,0.05,0.2578087456035754,5.156174912071507,True
6,0.45,3.25,0.5547001962252291,0.05,0.2769518668612743,5.539037337225485,True
6,0.5,3.5,0.5345224838248488,0.05,0.2948023357434657,5.896046714869314,True
6,0.55,3.75,0.5163977794943222,0.05,0.3114802081274202,6.229604162548403,True
6,0.6000000000000001,4,0.5,0.05,0.3270950118383713,6.541900236767426,True
6,0.65,4.25,0.4850712500726659,0.05,0.3417454066554189,6.834908133108377,True
6,0.7000000000000001,4.5,0.4714045207910317,0.05,0.3555196591274623,7.110393182549246,True
6,0.75,4.75,0.4588314677411235,0.05,0.3684964751658852,7.369929503317705,True
