treatment_correct_retention,treatment_incorrect_retention,delta_correct_retention_vs_control,delta_incorrect_retention_vs_control,latent_accuracy_both_arms,control_retained_accuracy,treatment_retained_accuracy,apparent_effect_treatment_minus_control,boundary_margin_a1b0_minus_a0b1,sign
0.05,0.05,-0.95,-0.85,0.7482949549720432,0.7676162430747759,0.7482949549720432,-0.0193212881027327,-0.004999999999999998,negative
0.05,0.1,-0.95,-0.8,0.7482949549720432,0.7676162430747759,0.5978205152599111,-0.1697957278148648,-0.055,negative
0.05,0.15,-0.95,-0.75,0.7482949549720432,0.7676162430747759,0.4977317632238408,-0.2698844798509352,-0.105,negative
0.05,0.2,-0.95,-0.7,0.7482949549720432,0.7676162430747759,0.4263509213805994,-0.3412653216941766,-0.155,negative
0.05,0.25,-0.95,-0.65,0.7482949549720432,0.7676162430747759,0.3728759369613004,-0.3947403061134755,-0.205,negative
0.05,0.3,-0.95,-0.6,0.7482949549720432,0.7676162430747759,0.3313201670907749,-0.4362960759840011,-0.2550000000000001,negative
0.05,0.35,-0.95,-0.55,0.7482949549720432,0.7676162430747759,0.298098132217185,-0.4695181108575909,-0.305,negative
0.05,0.4,-0.95,-0.5,0.7482949549720432,0.7676162430747759,0.2709313830975881,-0.4966848599771878,-0.355,negative
0.05,0.45,-0.95,-0.45,0.7482949549720432,0.7676162430747759,0.2483026723588575,-0.5193135707159184,-0.405,negative
0.05,0.5,-0.95,-0.4,0.7482949549720432,0.7676162430747759,0.2291625730523242,-0.5384536700224518,-0.455,negative
0.05,0.55,-0.95,-0.35,0.7482949549720432,0.7676162430747759,0.2127620759356926,-0.5548541671390833,-0.505,negative
0.05,0.6000000000000001,-0.95,-0.2999999999999999,0.7482949549720432,0.7676162430747759,0.1985522690192412,-0.5690639740555348,-0.555,negative
0.05,0.65,-0.95,-0.25,0.7482949549720432,0.7676162430747759,0.1861217010998454,-0.5814945419749306,-0.605,negative
0.05,0.7000000000000001,-0.95,-0.2,0.7482949549720432,0.7676162430747759,0.1751558875750797,-0.5924603554996962,-0.655,negative
0.05,0.75,-0.95,-0.15,0.7482949549720432,0.7676162430747759,0.1654103346689431,-0.6022059084058328,-0.705,negative
0.05,0.8,-0.95,-0.09999999999999998,0.7482949549720432,0.7676162430747759,0.1566920944889716,-0.6109241485858043,-0.755,negative
0.05,0.8500000000000001,-0.95,-0.04999999999999993,0.7482949549720432,0.7676162430747759,0.1488468610731296,-0.6187693820016464,-0.805,negative
0.05,0.9,-0.95,0,0.7482949549720432,0.7676162430747759,0.1417497580436599,-0.6258664850311161,-0.855,negative
0.05,0.9500000000000001,-0.95,0.05000000000000004,0.7482949549720432,0.7676162430747759,0.135298641817216,-0.63231760125756,-0.905,negative
0.05,1,-0.95,0.09999999999999998,0.7482949549720432,0.7676162430747759,0.1294091538641821,-0.6382070892105938,-0.955,negative
0.1,0.05,-0.9,-0.85,0.7482949549720432,0.7676162430747759,0.8560282723964151,0.08841202932163916,0.04000000000000001,positive
0.1,0.1,-0.9,-0.8,0.7482949549720432,0.7676162430747759,0.7482949549720432,-0.0193212881027327,-0.009999999999999995,negative
0.1,0.15,-0.9,-0.75,0.7482949549720432,0.7676162430747759,0.6646474027531901,-0.1029688403215858,-0.06000000000000001,negative
0.1,0.2,-0.9,-0.7,0.7482949549720432,0.7676162430747759,0.5978205152599111,-0.1697957278148648,-0.11,negative
0.1,0.25,-0.9,-0.65,0.7482949549720432,0.7676162430747759,0.5432041263489803,-0.2244121167257956,-0.16,negative
0.1,0.3,-0.9,-0.6,0.7482949549720432,0.7676162430747759,0.4977317632238408,-0.2698844798509352,-0.21,negative
0.1,0.35,-0.9,-0.55,0.7482949549720432,0.7676162430747759,0.4592844328464223,-0.3083318102283536,-0.26,negative
0.1,0.4,-0.9,-0.5,0.7482949549720432,0.7676162430747759,0.4263509213805994,-0.3412653216941766,-0.31,negative
0.1,0.45,-0.9,-0.45,0.7482949549720432,0.7676162430747759,0.3978244665448835,-0.3697917765298924,-0.36,negative
0.1,0.5,-0.9,-0.4,0.7482949549720432,0.7676162430747759,0.3728759369613004,-0.3947403061134755,-0.41,negative
0.1,0.55,-0.9,-0.35,0.7482949549720432,0.7676162430747759,0.3508719148750401,-0.4167443281997358,-0.46,negative
0.1,0.6000000000000001,-0.9,-0.2999999999999999,0.7482949549720432,0.7676162430747759,0.3313201670907749,-0.4362960759840011,-0.5100000000000001,negative
0.1,0.65,-0.9,-0.25,0.7482949549720432,0.7676162430747759,0.3138323848678627,-0.4537838582069132,-0.5600000000000001,negative
0.1,0.7000000000000001,-0.9,-0.2,0.7482949549720432,0.7676162430747759,0.298098132217185,-0.4695181108575909,-0.6100000000000001,negative
0.1,0.75,-0.9,-0.15,0.7482949549720432,0.7676162430747759,0.2838662567994664,-0.4837499862753096,-0.66,negative
0.1,0.8,-0.9,-0.09999999999999998,0.7482949549720432,0.7676162430747759,0.2709313830975881,-0.4966848599771878,-0.7100000000000001,negative
0.1,0.8500000000000001,-0.9,-0.04999999999999993,0.7482949549720432,0.7676162430747759,0.2591239374307778,-0.5084923056439981,-0.7600000000000001,negative
0.1,0.9,-0.9,0,0.7482949549720432,0.7676162430747759,0.2483026723588575,-0.5193135707159184,-0.8100000000000001,negative
0.1,0.9500000000000001,-0.9,0.05000000000000004,0.7482949549720432,0.7676162430747759,0.2383489891270374,-0.5292672539477385,-0.8600000000000001,negative
