treatment_correct_extraction_retention,treatment_incorrect_extraction_retention,control_correct_extraction_retention,control_incorrect_extraction_retention,latent_accuracy_both_arms,complete_case_control_accuracy,complete_case_treatment_accuracy,complete_case_apparent_effect,boundary_margin_correct_minus_incorrect_retention,sign
0.05,0.05,1.0,1.0,0.7482949549720435,0.7482949549720435,0.7482949549720433,-1.1102230246251565e-16,0.0,zero
0.05,0.1,1.0,1.0,0.7482949549720435,0.7482949549720435,0.5978205152599113,-0.15047443971213215,-0.05,negative
0.05,0.15000000000000002,1.0,1.0,0.7482949549720435,0.7482949549720435,0.49773176322384105,-0.2505631917482024,-0.10000000000000002,negative
0.05,0.2,1.0,1.0,0.7482949549720435,0.7482949549720435,0.42635092138059966,-0.3219440335914438,-0.15000000000000002,negative
0.05,0.25,1.0,1.0,0.7482949549720435,0.7482949549720435,0.37287593696130067,-0.3754190180107428,-0.2,negative
0.05,0.3,1.0,1.0,0.7482949549720435,0.7482949549720435,0.3313201670907752,-0.41697478788126824,-0.25,negative
0.05,0.35000000000000003,1.0,1.0,0.7482949549720435,0.7482949549720435,0.2980981322171853,-0.4501968227548582,-0.30000000000000004,negative
0.05,0.4,1.0,1.0,0.7482949549720435,0.7482949549720435,0.2709313830975883,-0.47736357187445516,-0.35000000000000003,negative
0.05,0.45,1.0,1.0,0.7482949549720435,0.7482949549720435,0.2483026723588577,-0.49999228261318573,-0.4,negative
0.05,0.5,1.0,1.0,0.7482949549720435,0.7482949549720435,0.22916257305232432,-0.5191323819197191,-0.45,negative
0.05,0.55,1.0,1.0,0.7482949549720435,0.7482949549720435,0.21276207593569277,-0.5355328790363507,-0.5,negative
0.05,0.6000000000000001,1.0,1.0,0.7482949549720435,0.7482949549720435,0.19855226901924136,-0.5497426859528021,-0.55,negative
0.05,0.6500000000000001,1.0,1.0,0.7482949549720435,0.7482949549720435,0.1861217010998455,-0.562173253872198,-0.6000000000000001,negative
0.05,0.7000000000000001,1.0,1.0,0.7482949549720435,0.7482949549720435,0.17515588757507994,-0.5731390673969635,-0.65,negative
0.05,0.7500000000000001,1.0,1.0,0.7482949549720435,0.7482949549720435,0.16541033466894325,-0.5828846203031002,-0.7000000000000001,negative
0.05,0.8,1.0,1.0,0.7482949549720435,0.7482949549720435,0.1566920944889717,-0.5916028604830718,-0.75,negative
0.05,0.8500000000000001,1.0,1.0,0.7482949549720435,0.7482949549720435,0.14884686107312972,-0.5994480938989137,-0.8,negative
0.05,0.9000000000000001,1.0,1.0,0.7482949549720435,0.7482949549720435,0.14174975804365997,-0.6065451969283835,-0.8500000000000001,negative
0.05,0.9500000000000001,1.0,1.0,0.7482949549720435,0.7482949549720435,0.13529864181721607,-0.6129963131548274,-0.9,negative
0.05,1.0,1.0,1.0,0.7482949549720435,0.7482949549720435,0.12940915386418225,-0.6188858011078612,-0.95,negative
0.1,0.05,1.0,1.0,0.7482949549720435,0.7482949549720435,0.8560282723964152,0.10773331742437176,0.05,positive
0.1,0.1,1.0,1.0,0.7482949549720435,0.7482949549720435,0.7482949549720433,-1.1102230246251565e-16,0.0,zero
0.1,0.15000000000000002,1.0,1.0,0.7482949549720435,0.7482949549720435,0.6646474027531903,-0.08364755221885312,-0.05000000000000002,negative
0.1,0.2,1.0,1.0,0.7482949549720435,0.7482949549720435,0.5978205152599113,-0.15047443971213215,-0.1,negative
0.1,0.25,1.0,1.0,0.7482949549720435,0.7482949549720435,0.5432041263489805,-0.20509082862306294,-0.15,negative
0.1,0.3,1.0,1.0,0.7482949549720435,0.7482949549720435,0.49773176322384116,-0.2505631917482023,-0.19999999999999998,negative
0.1,0.35000000000000003,1.0,1.0,0.7482949549720435,0.7482949549720435,0.4592844328464227,-0.2890105221256208,-0.25,negative
0.1,0.4,1.0,1.0,0.7482949549720435,0.7482949549720435,0.42635092138059966,-0.3219440335914438,-0.30000000000000004,negative
0.1,0.45,1.0,1.0,0.7482949549720435,0.7482949549720435,0.3978244665448838,-0.35047048842715967,-0.35,negative
