treatment_sensitivity,treatment_false_positive_probability,control_sensitivity,control_false_positive_probability,worker_control_accuracy,worker_treatment_accuracy,worker_effect,measured_control_accuracy,measured_treatment_accuracy,measured_effect,distortion,zero_boundary_residual_m1_minus_m0,sign_reversed_relative_to_worker
0.0,0.0,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.0,-0.7233972576737208,-0.7703770170862808,-0.7233972576737208,True
0.0,0.05,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.010236264280769826,-0.7131609933929509,-0.760140752805511,-0.7131609933929509,True
0.0,0.1,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.020472528561539652,-0.7029247291121811,-0.7499044885247411,-0.7029247291121811,True
0.0,0.15000000000000002,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.030708792842309478,-0.6926884648314113,-0.7396682242439714,-0.6926884648314113,True
0.0,0.2,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.040945057123079304,-0.6824522005506415,-0.7294319599632015,-0.6824522005506415,True
0.0,0.25,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.05118132140384912,-0.6722159362698716,-0.7191956956824317,-0.6722159362698716,True
0.0,0.30000000000000004,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.061417585684618956,-0.6619796719891018,-0.7089594314016618,-0.6619796719891018,True
0.0,0.35000000000000003,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.07165384996538877,-0.651743407708332,-0.698723167120892,-0.651743407708332,True
0.0,0.4,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.08189011424615861,-0.6415071434275621,-0.6884869028401222,-0.6415071434275621,True
0.0,0.45,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.09212637852692843,-0.6312708791467924,-0.6782506385593524,-0.6312708791467924,True
0.0,0.5,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.10236264280769825,-0.6210346148660225,-0.6680143742785826,-0.6210346148660225,True
0.0,0.55,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.11259890708846808,-0.6107983505852527,-0.6577781099978127,-0.6107983505852527,True
0.0,0.6000000000000001,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.12283517136923791,-0.6005620863044828,-0.6475418457170429,-0.6005620863044828,True
0.0,0.65,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.13307143565000773,-0.5903258220237131,-0.6373055814362731,-0.5903258220237131,True
0.0,0.7000000000000001,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.14330769993077755,-0.5800895577429432,-0.6270693171555033,-0.5800895577429432,True
0.0,0.75,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.15354396421154737,-0.5698532934621734,-0.6168330528747334,-0.5698532934621734,True
0.0,0.8,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.16378022849231721,-0.5596170291814035,-0.6065967885939636,-0.5596170291814035,True
0.0,0.8500000000000001,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.17401649277308703,-0.5493807649006337,-0.5963605243131938,-0.5493807649006337,True
0.0,0.9,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.18425275705385685,-0.5391445006198639,-0.5861242600324239,-0.5391445006198639,True
0.0,0.9500000000000001,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.19448902133462667,-0.5289082363390941,-0.5758879957516542,-0.5289082363390941,True
0.0,1.0,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.2047252856153965,-0.5186719720583243,-0.5656517314708843,-0.5186719720583243,True
0.05,0.0,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.03976373571923018,-0.6836335219544906,-0.7306132813670506,-0.6836335219544906,True
0.05,0.05,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.05,-0.6733972576737207,-0.7203770170862808,-0.6733972576737207,True
0.05,0.1,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.06023626428076983,-0.663160993392951,-0.710140752805511,-0.663160993392951,True
0.05,0.15000000000000002,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.07047252856153965,-0.6529247291121811,-0.6999044885247412,-0.6529247291121811,True
0.05,0.2,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.08070879284230947,-0.6426884648314113,-0.6896682242439713,-0.6426884648314113,True
0.05,0.25,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.09094505712307929,-0.6324522005506414,-0.6794319599632015,-0.6324522005506414,True
0.05,0.30000000000000004,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.10118132140384914,-0.6222159362698716,-0.6691956956824316,-0.6222159362698716,True
0.05,0.35000000000000003,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.11141758568461896,-0.6119796719891017,-0.6589594314016618,-0.6119796719891017,True
0.05,0.4,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.12165384996538878,-0.601743407708332,-0.6487231671208921,-0.601743407708332,True
0.05,0.45,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.1318901142461586,-0.5915071434275622,-0.6384869028401222,-0.5915071434275622,True
0.05,0.5,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.14212637852692842,-0.5812708791467923,-0.6282506385593524,-0.5812708791467923,True
0.05,0.55,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.15236264280769826,-0.5710346148660225,-0.6180143742785825,-0.5710346148660225,True
0.05,0.6000000000000001,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.16259890708846808,-0.5607983505852527,-0.6077781099978128,-0.5607983505852527,True
0.05,0.65,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.1728351713692379,-0.5505620863044829,-0.5975418457170429,-0.5505620863044829,True
0.05,0.7000000000000001,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.18307143565000772,-0.540325822023713,-0.5873055814362731,-0.540325822023713,True
0.05,0.75,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.19330769993077754,-0.5300895577429432,-0.5770693171555032,-0.5300895577429432,True
0.05,0.8,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.20354396421154738,-0.5198532934621733,-0.5668330528747334,-0.5198532934621733,True
0.05,0.8500000000000001,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.2137802284923172,-0.5096170291814035,-0.5565967885939636,-0.5096170291814035,True
0.05,0.9,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.22401649277308702,-0.49938076490063377,-0.5463605243131938,-0.49938076490063377,True
0.05,0.9500000000000001,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.23425275705385684,-0.4891445006198639,-0.536124260032424,-0.4891445006198639,True
0.05,1.0,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.24448902133462666,-0.4789082363390941,-0.5258879957516541,-0.4789082363390941,True
0.1,0.0,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.07952747143846035,-0.6438697862352604,-0.6908495456478204,-0.6438697862352604,True
0.1,0.05,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.08976373571923019,-0.6336335219544906,-0.6806132813670507,-0.6336335219544906,True
0.1,0.1,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.1,-0.6233972576737208,-0.6703770170862808,-0.6233972576737208,True
0.1,0.15000000000000002,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.11023626428076982,-0.6131609933929509,-0.660140752805511,-0.6131609933929509,True
0.1,0.2,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.12047252856153966,-0.6029247291121811,-0.6499044885247411,-0.6029247291121811,True
0.1,0.25,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.13070879284230946,-0.5926884648314112,-0.6396682242439713,-0.5926884648314112,True
0.1,0.30000000000000004,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.1409450571230793,-0.5824522005506414,-0.6294319599632014,-0.5824522005506414,True
0.1,0.35000000000000003,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.15118132140384913,-0.5722159362698717,-0.6191956956824317,-0.5722159362698717,True
0.1,0.4,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.16141758568461895,-0.5619796719891018,-0.6089594314016619,-0.5619796719891018,True
0.1,0.45,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.1716538499653888,-0.551743407708332,-0.598723167120892,-0.551743407708332,True
0.1,0.5,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.18189011424615859,-0.5415071434275622,-0.5884869028401223,-0.5415071434275622,True
0.1,0.55,0.96,0.02,0.7482949549720435,0.7952747143846035,0.04697975941256005,0.7233972576737208,0.19212637852692843,-0.5312708791467924,-0.5782506385593524,-0.5312708791467924,True
