treatment_observation_intercept,treatment_observation_slope_on_difficulty,control_observation_probability_constant,control_missing_fraction,treatment_missing_fraction,missing_rate_asymmetry_treatment_minus_control,latent_accuracy_both_arms,control_complete_case_accuracy,treatment_complete_case_accuracy,complete_case_apparent_effect,cov_accuracy_observation,sign
0.0,-2.0,0.9706877692486436,0.02931223075135636,0.5,0.47068776924864364,0.7482949549720435,0.7482949549720435,0.8350325920711962,0.08673763709915272,0.04336881854957636,positive
0.0,-1.8,0.9706877692486436,0.02931223075135636,0.5,0.47068776924864364,0.7482949549720435,0.7482949549720435,0.8312017295940763,0.08290677462203289,0.04145338731101644,positive
0.0,-1.6,0.9706877692486436,0.02931223075135636,0.5,0.47068776924864364,0.7482949549720435,0.7482949549720435,0.8266614273979195,0.07836647242587602,0.03918323621293801,positive
0.0,-1.4000000000000001,0.9706877692486436,0.02931223075135636,0.5,0.47068776924864364,0.7482949549720435,0.7482949549720435,0.8212650733274609,0.07297011835541745,0.03648505917770872,positive
0.0,-1.2000000000000002,0.9706877692486436,0.02931223075135636,0.5,0.47068776924864364,0.7482949549720435,0.7482949549720435,0.8148439394230148,0.06654898445097135,0.033274492225485675,positive
0.0,-1.0000000000000002,0.9706877692486436,0.02931223075135636,0.5,0.47068776924864364,0.7482949549720435,0.7482949549720435,0.8072150984420398,0.0589201434699963,0.02946007173499815,positive
0.0,-0.8000000000000003,0.9706877692486436,0.02931223075135636,0.5,0.47068776924864364,0.7482949549720435,0.7482949549720435,0.7982026550922477,0.04990770012020429,0.024953850060102145,positive
0.0,-0.6000000000000003,0.9706877692486436,0.02931223075135636,0.5,0.47068776924864364,0.7482949549720435,0.7482949549720435,0.7876818956007077,0.03938694062866421,0.019693470314332107,positive
0.0,-0.40000000000000036,0.9706877692486436,0.02931223075135636,0.5,0.47068776924864364,0.7482949549720435,0.7482949549720435,0.775655137308725,0.027360182336681582,0.013680091168340791,positive
0.0,-0.2000000000000004,0.9706877692486436,0.02931223075135636,0.5,0.47068776924864364,0.7482949549720435,0.7482949549720435,0.7623514509273666,0.0140564959553231,0.00702824797766155,positive
0.0,-4.440892098500626e-16,0.9706877692486436,0.02931223075135636,0.4999999999999999,0.47068776924864353,0.7482949549720435,0.7482949549720435,0.7482949549720433,-1.1102230246251565e-16,-5.551115123125783e-17,zero
0.0,0.1999999999999993,0.9706877692486436,0.02931223075135636,0.5,0.47068776924864364,0.7482949549720435,0.7482949549720435,0.7342384590167204,-0.0140564959553231,-0.00702824797766155,negative
0.0,0.39999999999999947,0.9706877692486436,0.02931223075135636,0.5,0.47068776924864364,0.7482949549720435,0.7482949549720435,0.7209347726353619,-0.027360182336681582,-0.013680091168340791,negative
0.0,0.5999999999999996,0.9706877692486436,0.02931223075135636,0.5,0.47068776924864364,0.7482949549720435,0.7482949549720435,0.708908014343379,-0.039386940628664435,-0.019693470314332218,negative
0.0,0.7999999999999994,0.9706877692486436,0.02931223075135636,0.4999999999999999,0.47068776924864353,0.7482949549720435,0.7482949549720435,0.6983872548518391,-0.0499077001202044,-0.0249538500601022,negative
0.0,0.9999999999999991,0.9706877692486436,0.02931223075135636,0.5,0.47068776924864364,0.7482949549720435,0.7482949549720435,0.689374811502047,-0.05892014346999641,-0.029460071734998206,negative
