calls_per_instance_K,icc_rho,design_effect,naive_to_correct_se_ratio,nominal_alpha,normal_approx_actual_alpha_if_calls_treated_independent,alpha_inflation_ratio,omi_K6_scale_marker
1,0.0,1.0,1.0,0.05,0.050000000000000044,1.0000000000000009,False
1,0.05,1.0,1.0,0.05,0.050000000000000044,1.0000000000000009,False
1,0.1,1.0,1.0,0.05,0.050000000000000044,1.0000000000000009,False
1,0.15000000000000002,1.0,1.0,0.05,0.050000000000000044,1.0000000000000009,False
1,0.2,1.0,1.0,0.05,0.050000000000000044,1.0000000000000009,False
1,0.25,1.0,1.0,0.05,0.050000000000000044,1.0000000000000009,False
1,0.30000000000000004,1.0,1.0,0.05,0.050000000000000044,1.0000000000000009,False
1,0.35000000000000003,1.0,1.0,0.05,0.050000000000000044,1.0000000000000009,False
1,0.4,1.0,1.0,0.05,0.050000000000000044,1.0000000000000009,False
1,0.45,1.0,1.0,0.05,0.050000000000000044,1.0000000000000009,False
1,0.5,1.0,1.0,0.05,0.050000000000000044,1.0000000000000009,False
1,0.55,1.0,1.0,0.05,0.050000000000000044,1.0000000000000009,False
1,0.6000000000000001,1.0,1.0,0.05,0.050000000000000044,1.0000000000000009,False
1,0.65,1.0,1.0,0.05,0.050000000000000044,1.0000000000000009,False
1,0.7000000000000001,1.0,1.0,0.05,0.050000000000000044,1.0000000000000009,False
1,0.75,1.0,1.0,0.05,0.050000000000000044,1.0000000000000009,False
1,0.8,1.0,1.0,0.05,0.050000000000000044,1.0000000000000009,False
1,0.8500000000000001,1.0,1.0,0.05,0.050000000000000044,1.0000000000000009,False
1,0.9,1.0,1.0,0.05,0.050000000000000044,1.0000000000000009,False
2,0.0,1.0,1.0,0.05,0.050000000000000044,1.0000000000000009,False
2,0.05,1.05,0.9759000729485331,0.05,0.05578275519815512,1.1156551039631024,False
2,0.1,1.1,0.9534625892455922,0.05,0.06165727904125351,1.2331455808250702,False
2,0.15000000000000002,1.15,0.9325048082403138,0.05,0.06759821622849227,1.3519643245698454,False
2,0.2,1.2,0.9128709291752769,0.05,0.07358355449671006,1.4716710899342011,False
2,0.25,1.25,0.8944271909999159,0.05,0.0795942691920557,1.591885383841114,False
2,0.30000000000000004,1.3,0.8770580193070292,0.05,0.08561398404618759,1.7122796809237517,False
2,0.35000000000000003,1.35,0.8606629658238704,0.05,0.09162865644564056,1.832573128912811,False
2,0.4,1.4,0.8451542547285166,0.05,0.09762629091889075,1.952525818377815,False
2,0.45,1.45,0.8304547985373997,0.05,0.10359668173866221,2.071933634773244,False
2,0.5,1.5,0.8164965809277261,0.05,0.10953118385237515,2.190623677047503,False
2,0.55,1.55,0.8032193289024989,0.05,0.11542251041071605,2.308450208214321,False
2,0.6000000000000001,1.6,0.7905694150420948,0.05,0.12126455469551933,2.4252910939103867,False
2,0.65,1.65,0.778498944161523,0.05,0.12705223407608934,2.541044681521787,False
2,0.7000000000000001,1.7000000000000002,0.7669649888473704,0.05,0.13278135363104626,2.6556270726209252,False
2,0.75,1.75,0.7559289460184544,0.05,0.13844848718485347,2.7689697436970695,False
2,0.8,1.8,0.7453559924999299,0.05,0.14405087367543934,2.881017473508787,False
2,0.8500000000000001,1.85,0.7352146220938078,0.05,0.14958632696095764,2.9917265392191528,False
2,0.9,1.9,0.7254762501100117,0.05,0.15505315737066638,3.1010631474133277,False
3,0.0,1.0,1.0,0.05,0.050000000000000044,1.0000000000000009,False
3,0.05,1.1,0.9534625892455922,0.05,0.06165727904125351,1.2331455808250702,False
3,0.1,1.2,0.9128709291752769,0.05,0.07358355449671006,1.4716710899342011,False
