treatment_correct_retention,treatment_incorrect_retention,delta_correct_retention_vs_control,delta_incorrect_retention_vs_control,latent_accuracy_both_arms,control_retained_accuracy,treatment_retained_accuracy,apparent_effect_treatment_minus_control,boundary_margin_a1b0_minus_a0b1,sign
0.05,0.05,-0.95,-0.85,0.7482949549720435,0.7676162430747762,0.7482949549720433,-0.019321288102732814,-0.0049999999999999975,negative
0.05,0.1,-0.95,-0.8,0.7482949549720435,0.7676162430747762,0.5978205152599113,-0.16979572781486485,-0.055,negative
0.05,0.15000000000000002,-0.95,-0.75,0.7482949549720435,0.7676162430747762,0.49773176322384105,-0.2698844798509351,-0.10500000000000001,negative
0.05,0.2,-0.95,-0.7,0.7482949549720435,0.7676162430747762,0.42635092138059966,-0.3412653216941765,-0.155,negative
0.05,0.25,-0.95,-0.65,0.7482949549720435,0.7676162430747762,0.37287593696130067,-0.3947403061134755,-0.205,negative
0.05,0.3,-0.95,-0.6000000000000001,0.7482949549720435,0.7676162430747762,0.3313201670907752,-0.43629607598400094,-0.255,negative
0.05,0.35000000000000003,-0.95,-0.55,0.7482949549720435,0.7676162430747762,0.2980981322171853,-0.4695181108575909,-0.30500000000000005,negative
0.05,0.4,-0.95,-0.5,0.7482949549720435,0.7676162430747762,0.2709313830975883,-0.49668485997718786,-0.35500000000000004,negative
0.05,0.45,-0.95,-0.45,0.7482949549720435,0.7676162430747762,0.2483026723588577,-0.5193135707159184,-0.405,negative
0.05,0.5,-0.95,-0.4,0.7482949549720435,0.7676162430747762,0.22916257305232432,-0.5384536700224518,-0.455,negative
0.05,0.55,-0.95,-0.35,0.7482949549720435,0.7676162430747762,0.21276207593569277,-0.5548541671390834,-0.505,negative
0.05,0.6000000000000001,-0.95,-0.29999999999999993,0.7482949549720435,0.7676162430747762,0.19855226901924136,-0.5690639740555348,-0.555,negative
0.05,0.6500000000000001,-0.95,-0.2499999999999999,0.7482949549720435,0.7676162430747762,0.1861217010998455,-0.5814945419749307,-0.6050000000000001,negative
0.05,0.7000000000000001,-0.95,-0.19999999999999996,0.7482949549720435,0.7676162430747762,0.17515588757507994,-0.5924603554996962,-0.655,negative
0.05,0.7500000000000001,-0.95,-0.1499999999999999,0.7482949549720435,0.7676162430747762,0.16541033466894325,-0.6022059084058329,-0.7050000000000001,negative
0.05,0.8,-0.95,-0.09999999999999998,0.7482949549720435,0.7676162430747762,0.1566920944889717,-0.6109241485858045,-0.755,negative
0.05,0.8500000000000001,-0.95,-0.04999999999999993,0.7482949549720435,0.7676162430747762,0.14884686107312972,-0.6187693820016464,-0.805,negative
0.05,0.9000000000000001,-0.95,1.1102230246251565e-16,0.7482949549720435,0.7676162430747762,0.14174975804365997,-0.6258664850311162,-0.8550000000000001,negative
0.05,0.9500000000000001,-0.95,0.050000000000000044,0.7482949549720435,0.7676162430747762,0.13529864181721607,-0.6323176012575601,-0.905,negative
0.05,1.0,-0.95,0.09999999999999998,0.7482949549720435,0.7676162430747762,0.12940915386418225,-0.6382070892105939,-0.955,negative
0.1,0.05,-0.9,-0.85,0.7482949549720435,0.7676162430747762,0.8560282723964152,0.08841202932163905,0.04000000000000001,positive
0.1,0.1,-0.9,-0.8,0.7482949549720435,0.7676162430747762,0.7482949549720433,-0.019321288102732814,-0.009999999999999995,negative
0.1,0.15000000000000002,-0.9,-0.75,0.7482949549720435,0.7676162430747762,0.6646474027531903,-0.10296884032158582,-0.06000000000000001,negative
0.1,0.2,-0.9,-0.7,0.7482949549720435,0.7676162430747762,0.5978205152599113,-0.16979572781486485,-0.11,negative
0.1,0.25,-0.9,-0.65,0.7482949549720435,0.7676162430747762,0.5432041263489805,-0.22441211672579564,-0.15999999999999998,negative
0.1,0.3,-0.9,-0.6000000000000001,0.7482949549720435,0.7676162430747762,0.49773176322384116,-0.269884479850935,-0.20999999999999996,negative
0.1,0.35000000000000003,-0.9,-0.55,0.7482949549720435,0.7676162430747762,0.4592844328464227,-0.3083318102283535,-0.26,negative
0.1,0.4,-0.9,-0.5,0.7482949549720435,0.7676162430747762,0.42635092138059966,-0.3412653216941765,-0.31,negative
0.1,0.45,-0.9,-0.45,0.7482949549720435,0.7676162430747762,0.3978244665448838,-0.36979177652989237,-0.36,negative
0.1,0.5,-0.9,-0.4,0.7482949549720435,0.7676162430747762,0.37287593696130067,-0.3947403061134755,-0.41,negative
0.1,0.55,-0.9,-0.35,0.7482949549720435,0.7676162430747762,0.35087191487504027,-0.4167443281997359,-0.46,negative
0.1,0.6000000000000001,-0.9,-0.29999999999999993,0.7482949549720435,0.7676162430747762,0.3313201670907751,-0.43629607598400105,-0.5100000000000001,negative
0.1,0.6500000000000001,-0.9,-0.2499999999999999,0.7482949549720435,0.7676162430747762,0.3138323848678629,-0.45378385820691325,-0.5600000000000002,negative
0.1,0.7000000000000001,-0.9,-0.19999999999999996,0.7482949549720435,0.7676162430747762,0.2980981322171853,-0.4695181108575909,-0.6100000000000001,negative
0.1,0.7500000000000001,-0.9,-0.1499999999999999,0.7482949549720435,0.7676162430747762,0.2838662567994666,-0.4837499862753096,-0.6600000000000001,negative
0.1,0.8,-0.9,-0.09999999999999998,0.7482949549720435,0.7676162430747762,0.2709313830975883,-0.49668485997718786,-0.7100000000000001,negative
0.1,0.8500000000000001,-0.9,-0.04999999999999993,0.7482949549720435,0.7676162430747762,0.25912393743077805,-0.508492305643998,-0.7600000000000001,negative
0.1,0.9000000000000001,-0.9,1.1102230246251565e-16,0.7482949549720435,0.7676162430747762,0.24830267235885767,-0.5193135707159184,-0.8100000000000002,negative
0.1,0.9500000000000001,-0.9,0.050000000000000044,0.7482949549720435,0.7676162430747762,0.23834898912703759,-0.5292672539477385,-0.8600000000000001,negative
0.1,1.0,-0.9,0.09999999999999998,0.7482949549720435,0.7676162430747762,0.22916257305232432,-0.5384536700224518,-0.91,negative
0.15000000000000002,0.05,-0.85,-0.85,0.7482949549720435,0.7676162430747762,0.8991804605051882,0.13156421743041202,0.08500000000000003,positive
0.15000000000000002,0.1,-0.85,-0.8,0.7482949549720435,0.7676162430747762,0.8168282159288708,0.04921197285409462,0.03500000000000003,positive
0.15000000000000002,0.15000000000000002,-0.85,-0.75,0.7482949549720435,0.7676162430747762,0.7482949549720435,-0.019321288102732703,-0.014999999999999986,negative
0.15000000000000002,0.2,-0.85,-0.7,0.7482949549720435,0.7676162430747762,0.6903716154540793,-0.07724462762069684,-0.06499999999999997,negative
0.15000000000000002,0.25,-0.85,-0.65,0.7482949549720435,0.7676162430747762,0.6407713648162447,-0.1268448782585314,-0.11499999999999996,negative
0.15000000000000002,0.3,-0.85,-0.6000000000000001,0.7482949549720435,0.7676162430747762,0.5978205152599114,-0.16979572781486474,-0.16499999999999995,negative
0.15000000000000002,0.35000000000000003,-0.85,-0.55,0.7482949549720435,0.7676162430747762,0.5602659375778322,-0.207350305496944,-0.215,negative
0.15000000000000002,0.4,-0.85,-0.5,0.7482949549720435,0.7676162430747762,0.5271507731511544,-0.24046546992362172,-0.265,negative
0.15000000000000002,0.45,-0.85,-0.45,0.7482949549720435,0.7676162430747762,0.49773176322384116,-0.269884479850935,-0.31499999999999995,negative
0.15000000000000002,0.5,-0.85,-0.4,0.7482949549720435,0.7676162430747762,0.4714227968936355,-0.2961934461811407,-0.365,negative
0.15000000000000002,0.55,-0.85,-0.35,0.7482949549720435,0.7676162430747762,0.4477554638195048,-0.31986077925527134,-0.41500000000000004,negative
0.15000000000000002,0.6000000000000001,-0.85,-0.29999999999999993,0.7482949549720435,0.7676162430747762,0.4263509213805997,-0.34126532169417645,-0.4650000000000001,negative
0.15000000000000002,0.6500000000000001,-0.85,-0.2499999999999999,0.7482949549720435,0.7676162430747762,0.40689946288281187,-0.3607167801919643,-0.5150000000000001,negative
0.15000000000000002,0.7000000000000001,-0.85,-0.19999999999999996,0.7482949549720435,0.7676162430747762,0.38914543470288987,-0.3784708083718863,-0.5650000000000001,negative
0.15000000000000002,0.7500000000000001,-0.85,-0.1499999999999999,0.7482949549720435,0.7676162430747762,0.3728759369613007,-0.39474030611347544,-0.6150000000000001,negative
0.15000000000000002,0.8,-0.85,-0.09999999999999998,0.7482949549720435,0.7676162430747762,0.35791224487994006,-0.4097039981948361,-0.665,negative
0.15000000000000002,0.8500000000000001,-0.85,-0.04999999999999993,0.7482949549720435,0.7676162430747762,0.34410321603533256,-0.4235130270394436,-0.7150000000000001,negative
0.15000000000000002,0.9000000000000001,-0.85,1.1102230246251565e-16,0.7482949549720435,0.7676162430747762,0.33132016709077516,-0.436296075984001,-0.7650000000000001,negative
0.15000000000000002,0.9500000000000001,-0.85,0.050000000000000044,0.7482949549720435,0.7676162430747762,0.3194528515680583,-0.44816339150671786,-0.8150000000000001,negative
0.15000000000000002,1.0,-0.85,0.09999999999999998,0.7482949549720435,0.7676162430747762,0.3084062721435419,-0.4592099709312343,-0.865,negative
0.2,0.05,-0.8,-0.85,0.7482949549720435,0.7676162430747762,0.922430207694145,0.1548139646193688,0.13,positive
0.2,0.1,-0.8,-0.8,0.7482949549720435,0.7676162430747762,0.8560282723964152,0.08841202932163905,0.08000000000000002,positive
0.2,0.15000000000000002,-0.8,-0.75,0.7482949549720435,0.7676162430747762,0.7985443663972539,0.03092812332247774,0.03,positive
0.2,0.2,-0.8,-0.7,0.7482949549720435,0.7676162430747762,0.7482949549720433,-0.019321288102732814,-0.01999999999999999,negative
0.2,0.25,-0.8,-0.65,0.7482949549720435,0.7676162430747762,0.7039951709228909,-0.06362107215188528,-0.06999999999999998,negative
0.2,0.3,-0.8,-0.6000000000000001,0.7482949549720435,0.7676162430747762,0.6646474027531905,-0.10296884032158571,-0.11999999999999997,negative
0.2,0.35000000000000003,-0.8,-0.55,0.7482949549720435,0.7676162430747762,0.6294652673715714,-0.13815097570320478,-0.17,negative
0.2,0.4,-0.8,-0.5,0.7482949549720435,0.7676162430747762,0.5978205152599113,-0.16979572781486485,-0.22,negative
0.2,0.45,-0.8,-0.45,0.7482949549720435,0.7676162430747762,0.5692051842935885,-0.1984110587811877,-0.27,negative
0.2,0.5,-0.8,-0.4,0.7482949549720435,0.7676162430747762,0.5432041263489805,-0.22441211672579564,-0.31999999999999995,negative
0.2,0.55,-0.8,-0.35,0.7482949549720435,0.7676162430747762,0.5194747348159903,-0.2481415082587859,-0.37,negative
0.2,0.6000000000000001,-0.8,-0.29999999999999993,0.7482949549720435,0.7676162430747762,0.49773176322384105,-0.2698844798509351,-0.42000000000000004,negative
0.2,0.6500000000000001,-0.8,-0.2499999999999999,0.7482949549720435,0.7676162430747762,0.4777358032614278,-0.2898804398133484,-0.4700000000000001,negative
0.2,0.7000000000000001,-0.8,-0.19999999999999996,0.7482949549720435,0.7676162430747762,0.4592844328464227,-0.3083318102283535,-0.52,negative
0.2,0.7500000000000001,-0.8,-0.1499999999999999,0.7482949549720435,0.7676162430747762,0.44220533921829686,-0.3254109038564793,-0.5700000000000001,negative
0.2,0.8,-0.8,-0.09999999999999998,0.7482949549720435,0.7676162430747762,0.42635092138059966,-0.3412653216941765,-0.62,negative
0.2,0.8500000000000001,-0.8,-0.04999999999999993,0.7482949549720435,0.7676162430747762,0.41159401346862845,-0.3560222296061477,-0.67,negative
0.2,0.9000000000000001,-0.8,1.1102230246251565e-16,0.7482949549720435,0.7676162430747762,0.3978244665448838,-0.36979177652989237,-0.7200000000000001,negative
0.2,0.9500000000000001,-0.8,0.050000000000000044,0.7482949549720435,0.7676162430747762,0.38494639430369215,-0.382669848771084,-0.77,negative
0.2,1.0,-0.8,0.09999999999999998,0.7482949549720435,0.7676162430747762,0.37287593696130067,-0.3947403061134755,-0.82,negative
0.25,0.05,-0.75,-0.85,0.7482949549720435,0.7676162430747762,0.9369662633837998,0.16935002030902369,0.175,positive
